date,close,high,low,open,volume,ticker,sector,company
2023-10-23,15.975564956665039,16.340829756289747,15.860217116398871,15.927502592640918,1500000,FFBL.KA,Fertilizer,FFBL
2023-10-24,15.639135360717773,16.436952250146955,15.533399995834685,15.95633962197536,3563500,FFBL.KA,Fertilizer,FFBL
2023-10-25,15.639135360717773,15.860216729662705,15.619910415576905,15.812156200202216,698500,FFBL.KA,Fertilizer,FFBL
2023-10-26,15.350768089294434,15.908277765694915,15.283481695854618,15.658360804472187,625500,FFBL.KA,Fertilizer,FFBL
2023-10-27,15.29309368133545,15.571849885695444,15.052787367256146,15.389216573645506,1094500,FFBL.KA,Fertilizer,FFBL
2023-10-30,15.927502632141113,16.052462945522006,15.331543067201952,15.494952355201635,1726500,FFBL.KA,Fertilizer,FFBL
2023-10-31,17.08097267150879,17.119420727107432,15.812155669096066,15.812155669096066,17814500,FFBL.KA,Fertilizer,FFBL
2023-11-01,18.119096755981445,18.263280180199416,17.30205490755734,17.78266754387838,5601500,FFBL.KA,Fertilizer,FFBL
2023-11-02,18.397851943969727,18.74389364408435,17.68654543081662,18.28250593285938,8969000,FFBL.KA,Fertilizer,FFBL
2023-11-03,18.05181121826172,18.551646964941806,17.859565431036657,18.3786279565093,1416500,FFBL.KA,Fertilizer,FFBL
2023-11-06,18.01336097717285,18.263279762348834,17.898014973794194,18.119096341429678,1109000,FFBL.KA,Fertilizer,FFBL
2023-11-07,17.715381622314453,18.109483827508473,17.398177363660935,17.974912879410514,2410000,FFBL.KA,Fertilizer,FFBL
2023-11-08,17.83072853088379,18.167157751604414,17.59042220656788,17.59042220656788,1089500,FFBL.KA,Fertilizer,FFBL
2023-11-09,17.83072853088379,17.83072853088379,17.83072853088379,17.83072853088379,0,FFBL.KA,Fertilizer,FFBL
2023-11-10,18.31134033203125,18.791952958419383,17.888402540851697,17.90762565252955,2728000,FFBL.KA,Fertilizer,FFBL
2023-11-13,18.224830627441406,18.455526310540943,17.984524304821818,18.44591383762915,1271500,FFBL.KA,Fertilizer,FFBL
2023-11-14,17.936464309692383,18.551647927298156,17.78266840529094,18.551647927298156,1984500,FFBL.KA,Fertilizer,FFBL
2023-11-15,17.994136810302734,18.263280552144845,17.83072843728998,18.253668079215654,826000,FFBL.KA,Fertilizer,FFBL
2023-11-16,18.263280868530273,18.599710093313135,18.02297454131277,18.02297454131277,8386500,FFBL.KA,Fertilizer,FFBL
2023-11-17,19.23411750793457,19.637832187013842,18.455525567350136,18.503586096581994,10468000,FFBL.KA,Fertilizer,FFBL
2023-11-20,20.23379135131836,20.570220565010302,19.128382649237736,19.320628438030763,18521500,FFBL.KA,Fertilizer,FFBL
2023-11-21,21.752527236938477,21.752527236938477,20.18573084031142,20.61828294881764,25983500,FFBL.KA,Fertilizer,FFBL
2023-11-22,22.050508499145508,23.05018183981963,21.87748765491167,22.088956557090956,23277000,FFBL.KA,Fertilizer,FFBL
2023-11-23,22.175466537475586,22.348487378262874,21.608343485291343,22.30042684844049,15502000,FFBL.KA,Fertilizer,FFBL
2023-11-24,22.098567962646484,22.771426361416687,21.627567816863998,22.3484867440928,9604500,FFBL.KA,Fertilizer,FFBL
2023-11-27,22.31003761291504,22.559956402855917,21.810201866424986,22.271589555519668,9058000,FFBL.KA,Fertilizer,FFBL
2023-11-28,22.060121536254883,22.636855253930957,21.992834224693684,22.48305935143177,10338000,FFBL.KA,Fertilizer,FFBL
2023-11-29,21.464160919189453,22.44461116719164,21.262304485808173,22.108181944831074,10412500,FFBL.KA,Fertilizer,FFBL
2023-11-30,23.069406509399414,23.069406509399414,21.33920175455114,21.53144570876111,33025000,FFBL.KA,Fertilizer,FFBL
2023-12-01,23.60769271850586,23.88644893392633,22.838713216297233,23.453896818064134,27568000,FFBL.KA,Fertilizer,FFBL
2023-12-04,23.684589385986328,24.165202007185023,23.453895547817954,23.742264220572164,13420500,FFBL.KA,Fertilizer,FFBL
2023-12-05,23.8768367767334,24.030632679208992,23.261653166831017,23.819163771652995,10642000,FFBL.KA,Fertilizer,FFBL
2023-12-06,24.578529357910156,24.876508672166604,23.598079162547002,23.896060310195118,13097000,FFBL.KA,Fertilizer,FFBL
2023-12-07,24.828449249267578,25.08798051843773,24.26132617962543,24.895734726446857,11672235,FFBL.KA,Fertilizer,FFBL
2023-12-08,26.693225860595703,26.693225860595703,24.636202561313024,24.799610928544944,19792366,FFBL.KA,Fertilizer,FFBL
2023-12-11,27.452592849731445,28.154288681311126,26.61632790213525,26.9335321638772,15751050,FFBL.KA,Fertilizer,FFBL
2023-12-12,27.40453338623047,28.019716988474713,27.250737485669408,27.46220639059293,8775395,FFBL.KA,Fertilizer,FFBL
2023-12-13,26.029979705810547,27.683286476370473,25.37634624223821,27.577552945539654,11013525,FFBL.KA,Fertilizer,FFBL
2023-12-14,27.856307983398438,27.981268295641055,25.71277606370887,25.77044906676377,14425343,FFBL.KA,Fertilizer,FFBL
2023-12-15,29.49039077758789,29.89410545338063,27.731348654503453,28.45226758746251,20164100,FFBL.KA,Fertilizer,FFBL
2023-12-18,28.56761360168457,30.086349414401894,28.250409344388917,30.086349414401894,8989683,FFBL.KA,Fertilizer,FFBL
2023-12-19,28.0389404296875,28.884817837379458,26.91430682131818,28.884817837379458,13828793,FFBL.KA,Fertilizer,FFBL
2023-12-20,28.50994110107422,29.077064151864565,26.43369468351324,27.885145047960428,11726458,FFBL.KA,Fertilizer,FFBL
2023-12-21,28.519554138183594,29.125125258045134,28.077389555907526,28.83675840732854,5713912,FFBL.KA,Fertilizer,FFBL
2023-12-22,28.53877830505371,29.644186980492577,28.16389920928154,28.788697091104602,9540348,FFBL.KA,Fertilizer,FFBL
2023-12-25,28.53877830505371,28.53877830505371,28.53877830505371,28.53877830505371,0,FFBL.KA,Fertilizer,FFBL
2023-12-26,27.577552795410156,28.644511570770305,26.91430686293809,28.59645104187172,5769369,FFBL.KA,Fertilizer,FFBL
2023-12-27,29.644187927246094,29.644187927246094,27.154614293165917,27.154614293165917,8587053,FFBL.KA,Fertilizer,FFBL
2023-12-28,30.836109161376953,31.48012834767016,29.22124854230403,29.990229876785982,14508903,FFBL.KA,Fertilizer,FFBL
2023-12-29,30.6630859375,31.114861157195715,30.278596193781123,31.047575681218877,3627095,FFBL.KA,Fertilizer,FFBL
2024-01-01,30.826494216918945,31.191760847419342,30.259371159082832,30.73998379566315,7057217,FFBL.KA,Fertilizer,FFBL
2024-01-02,30.3651065826416,30.92261533539072,30.192085739806217,30.855329859486233,4915160,FFBL.KA,Fertilizer,FFBL
2024-01-03,31.172534942626953,31.72043303812462,30.39394300867719,30.42277859261392,12281218,FFBL.KA,Fertilizer,FFBL
2024-01-04,30.836109161376953,31.576249410262623,30.576576058845355,31.470517708124312,6429249,FFBL.KA,Fertilizer,FFBL
2024-01-05,30.442005157470703,31.04757628645895,29.98061745601378,30.855330494156018,3041527,FFBL.KA,Fertilizer,FFBL
2024-01-08,28.625289916992188,30.70153640548061,28.269635751499305,30.70153640548061,9923982,FFBL.KA,Fertilizer,FFBL
2024-01-09,28.433042526245117,28.894430201437302,28.16389879902052,28.64451141902696,5141931,FFBL.KA,Fertilizer,FFBL
2024-01-10,28.83675765991211,29.586514019090828,27.88514487714201,28.63490123632073,9125414,FFBL.KA,Fertilizer,FFBL
2024-01-11,29.134737014770508,29.43271816436439,28.85598264371469,29.06745154014985,3445560,FFBL.KA,Fertilizer,FFBL
2024-01-12,28.192737579345703,29.432719078942743,28.067779098794677,29.18280028444896,3495096,FFBL.KA,Fertilizer,FFBL
2024-01-15,29.153963088989258,30.038290432662514,28.45226906449628,28.45226906449628,11588539,FFBL.KA,Fertilizer,FFBL
2024-01-16,29.230859756469727,29.605737017933848,28.740634658113432,29.18279922724313,4661944,FFBL.KA,Fertilizer,FFBL
2024-01-17,27.2891845703125,29.846043617639552,27.039265782471066,29.105901560122966,22432023,FFBL.KA,Fertilizer,FFBL
2024-01-18,27.23151206970215,27.49104333494102,26.731674484810632,27.250737015288372,4031311,FFBL.KA,Fertilizer,FFBL
2024-01-19,27.664064407348633,28.346533480781428,27.346860136118003,27.44298119806107,4483058,FFBL.KA,Fertilizer,FFBL
2024-01-22,27.491043090820312,28.058166146835838,27.106553349468697,28.019716256004823,1408111,FFBL.KA,Fertilizer,FFBL
2024-01-23,28.846370697021484,29.55767717987988,27.298797418966817,27.827472419780182,11906894,FFBL.KA,Fertilizer,FFBL
2024-01-24,29.375043869018555,29.605737714841666,28.894431231872478,28.894431231872478,6251115,FFBL.KA,Fertilizer,FFBL
2024-01-25,28.3369197845459,29.701859705875968,27.491042375579724,29.326982446985372,24116651,FFBL.KA,Fertilizer,FFBL
2024-01-26,26.93353271484375,28.05816636282434,26.789349289900947,27.894757992318045,6226682,FFBL.KA,Fertilizer,FFBL
2024-01-29,26.001142501831055,27.202674074621616,25.953081972276106,26.92391970309788,3715728,FFBL.KA,Fertilizer,FFBL
2024-01-30,25.126428604125977,26.443308063894534,24.270938678958924,25.962695416786435,9640928,FFBL.KA,Fertilizer,FFBL
2024-01-31,25.73200035095215,25.905021189082596,24.99185646934598,24.99185646934598,5190075,FFBL.KA,Fertilizer,FFBL
2024-02-01,25.88579750061035,26.289512198047486,25.472470330211408,25.722389127043137,2687260,FFBL.KA,Fertilizer,FFBL
2024-02-02,25.953083038330078,26.145328831229968,25.472470389472115,25.5878182318904,1465237,FFBL.KA,Fertilizer,FFBL
2024-02-06,25.991531372070312,26.28951068314865,25.66471464376827,26.029979428310266,2059399,FFBL.KA,Fertilizer,FFBL
2024-02-07,25.991531372070312,26.193387792461287,25.472468862393548,26.164550375237585,2575188,FFBL.KA,Fertilizer,FFBL
2024-02-08,25.991531372070312,25.991531372070312,25.991531372070312,25.991531372070312,0,FFBL.KA,Fertilizer,FFBL
2024-02-09,25.03030776977539,25.98192059972421,24.991857877627915,25.98192059972421,1834132,FFBL.KA,Fertilizer,FFBL
2024-02-12,24.424734115600586,25.09759254213281,24.049856844659566,25.09759254213281,1793043,FFBL.KA,Fertilizer,FFBL
2024-02-13,26.26067352294922,26.26067352294922,23.55001861270685,24.213264548210304,9096783,FFBL.KA,Fertilizer,FFBL
2024-02-14,26.63555145263672,27.154613980432295,26.56826597682434,26.674001343610485,4580176,FFBL.KA,Fertilizer,FFBL
2024-02-15,26.13571548461914,26.731674122582795,25.953082170808223,26.67400111999734,1776823,FFBL.KA,Fertilizer,FFBL
2024-02-16,24.174816131591797,25.86657289382368,24.174816131591797,25.86657289382368,2279588,FFBL.KA,Fertilizer,FFBL
2024-02-19,23.271263122558594,23.934509078361177,22.473446214392943,22.69452942192162,7173793,FFBL.KA,Fertilizer,FFBL
2024-02-20,23.40583610534668,24.23248860546801,23.165529783594437,23.165529783594437,2664205,FFBL.KA,Fertilizer,FFBL
2024-02-21,24.693878173828125,24.98224502700874,23.886448784852313,24.040244684334205,3075578,FFBL.KA,Fertilizer,FFBL
2024-02-22,24.905345916748047,25.232162646266257,24.511243713515793,25.087979226394495,1344898,FFBL.KA,Fertilizer,FFBL
2024-02-23,24.41512107849121,24.895733705364627,23.646141608850414,24.60736686259725,2742164,FFBL.KA,Fertilizer,FFBL
2024-02-26,24.6265926361084,25.078367860545825,24.46318426413882,24.46318426413882,1483195,FFBL.KA,Fertilizer,FFBL
2024-02-27,24.520856857299805,24.90534659861508,24.31899859723947,24.386285906187386,718532,FFBL.KA,Fertilizer,FFBL
