date,sector,year,month,quarter,month_name,yearmonth,avg_close,avg_daily_return,total_volume,avg_volatility,stock_count
2024-03-29,Energy,2024,3,1,Mar,2024-03,85.1,-0.01199521204922931,8562079,0.02398513354162627,5
2024-03-29,Fertilizer,2024,3,1,Mar,2024-03,122.74000000000001,-0.005814854714411788,2789656,0.01927547595220338,4
2024-03-29,Technology,2024,3,1,Mar,2024-03,143.82000000000002,-0.02070518393523152,10138822,0.03312029757769148,4
2024-04-01,Banking,2024,4,2,Apr,2024-04,98.804,-0.0004376260684574307,1660269,0.012030818425113263,5
2024-04-01,Cement,2024,4,2,Apr,2024-04,248.2525,-0.007053638978670396,2560624,0.016063316025227595,4
2024-04-01,Energy,2024,4,2,Apr,2024-04,84.246,-0.011921106748976373,4653533,0.022274043411509497,5
2024-04-01,Fertilizer,2024,4,2,Apr,2024-04,122.67750000000001,-0.0019194536315619293,2090118,0.016689700571374862,4
2024-04-01,Technology,2024,4,2,Apr,2024-04,142.145,-0.009688152548952222,6553264,0.032652573775626456,4
2024-04-02,Banking,2024,4,2,Apr,2024-04,99.20599999999999,0.006173690909921037,769697,0.012026217311775703,5
2024-04-02,Cement,2024,4,2,Apr,2024-04,248.99,-0.0028445083116122594,1672052,0.0160741238769782,4
2024-04-02,Energy,2024,4,2,Apr,2024-04,83.4,-0.006400152168374218,4937892,0.020725001981126086,5
2024-04-02,Fertilizer,2024,4,2,Apr,2024-04,122.5775,0.006652750592955697,2152340,0.01614471016954043,4
2024-04-02,Technology,2024,4,2,Apr,2024-04,144.39,0.006775777613851619,10833946,0.03289533842627724,4
2024-04-03,Banking,2024,4,2,Apr,2024-04,99.52799999999999,0.005737415066861584,1818208,0.012060294749974946,5
2024-04-03,Cement,2024,4,2,Apr,2024-04,262.555,0.06826185731064283,12460616,0.02015430634919084,4
2024-04-03,Energy,2024,4,2,Apr,2024-04,84.758,0.018364658693151313,12070929,0.020725451997841465,5
2024-04-03,Fertilizer,2024,4,2,Apr,2024-04,126.70500000000001,0.014661142829893198,3759795,0.01664324579924984,4
2024-04-03,Technology,2024,4,2,Apr,2024-04,143.81,-0.0004563328981880832,6945988,0.03280093524610003,4
2024-04-04,Banking,2024,4,2,Apr,2024-04,100.366,0.008460179995469597,2984582,0.011967426357087864,5
2024-04-04,Cement,2024,4,2,Apr,2024-04,259.09999999999997,-0.020698064010463507,8649038,0.01949808805922148,4
2024-04-04,Energy,2024,4,2,Apr,2024-04,86.03,0.013009113973311281,30985861,0.020045102598708082,5
2024-04-04,Fertilizer,2024,4,2,Apr,2024-04,127.44,0.004122872385776216,4931595,0.016203088628637483,4
2024-04-04,Technology,2024,4,2,Apr,2024-04,146.2975,0.018860978679723583,14961113,0.03164480605695858,4
2024-04-08,Banking,2024,4,2,Apr,2024-04,102.68400000000001,0.016923759973376095,3223343,0.012493976436750865,5
2024-04-08,Cement,2024,4,2,Apr,2024-04,261.605,0.006685885144428638,3689469,0.019379921541166772,4
2024-04-08,Energy,2024,4,2,Apr,2024-04,87.94800000000001,0.024949561084716798,15664805,0.020502946987619893,5
2024-04-08,Fertilizer,2024,4,2,Apr,2024-04,128.7375,0.024498639429978486,8649983,0.016926811407899072,4
2024-04-08,Technology,2024,4,2,Apr,2024-04,151.1925,0.017886150935951473,12388290,0.02981339326942403,4
2024-04-09,Banking,2024,4,2,Apr,2024-04,102.83400000000002,0.00022575572002996313,13704445,0.01258285537977422,5
2024-04-09,Cement,2024,4,2,Apr,2024-04,261.83,0.011988161990515528,8234021,0.01947386893986294,4
2024-04-09,Energy,2024,4,2,Apr,2024-04,89.422,0.013371511158715776,18077137,0.019760540701790053,5
2024-04-09,Fertilizer,2024,4,2,Apr,2024-04,129.9675,0.031731954894158504,16612660,0.018333646330140313,4
2024-04-09,Technology,2024,4,2,Apr,2024-04,149.375,-0.013496624428116388,5278259,0.029683394005813154,4
